NAMN,ÅLDER_PÅ_VALDAGEN,KÖN,PARTIBETECKNING,PARTIFÖRKORTNING
Sven-Erik Sahlén,74,M,Kristdemokraterna,KD
Ewa Sundkvist,67,K,Kristdemokraterna,KD
Jan Johansson,45,M,Kristdemokraterna,KD
Anna Andersson,37,K,Kristdemokraterna,KD
Erling Johansson,69,M,Kristdemokraterna,KD
Gunilla Werme,66,K,Liberalerna (tidigare Folkpartiet),L
Nils Detlofsson,66,M,Liberalerna (tidigare Folkpartiet),L
Marie Brodin,50,K,Liberalerna (tidigare Folkpartiet),L
Mats-Olof Liljegren,59,M,Liberalerna (tidigare Folkpartiet),L
Jeanette Nilsson,41,K,Liberalerna (tidigare Folkpartiet),L
Patrik Jämtvall,44,M,Liberalerna (tidigare Folkpartiet),L
Tyra Brodin,20,K,Liberalerna (tidigare Folkpartiet),L
Carl Kling,26,M,Liberalerna (tidigare Folkpartiet),L
Zara Anell,44,K,Liberalerna (tidigare Folkpartiet),L
Lars Modig,61,M,Liberalerna (tidigare Folkpartiet),L
Elin Nilsson,40,K,Liberalerna (tidigare Folkpartiet),L
Ann-Charlotte Kämpe-Larsson,62,K,Liberalerna (tidigare Folkpartiet),L
Fredrik Askhem,52,M,Liberalerna (tidigare Folkpartiet),L
Johanna Reimfelt,40,K,Liberalerna (tidigare Folkpartiet),L
Sanna Jansson,27,K,Liberalerna (tidigare Folkpartiet),L
Martin Mestanza Haro,58,M,Liberalerna (tidigare Folkpartiet),L
Diana Steen,48,K,Liberalerna (tidigare Folkpartiet),L
Tommy Sjöstrand,53,M,Liberalerna (tidigare Folkpartiet),L
Pia Delin,73,K,Liberalerna (tidigare Folkpartiet),L
Anders Karlsson,53,M,Liberalerna (tidigare Folkpartiet),L
Birgitta Malmberg,78,K,Liberalerna (tidigare Folkpartiet),L
Christian Liljenhed,33,M,Liberalerna (tidigare Folkpartiet),L
Henrik Johansson,52,M,Liberalerna (tidigare Folkpartiet),L
Johanna Sundman,33,K,Liberalerna (tidigare Folkpartiet),L
Fabian Zubicky,26,M,Liberalerna (tidigare Folkpartiet),L
Anneli Lyckeborn,64,K,Liberalerna (tidigare Folkpartiet),L
Louice Bäckman-Johansson,57,K,Liberalerna (tidigare Folkpartiet),L
Johan Åqvist,70,M,Liberalerna (tidigare Folkpartiet),L
Karin Forsling,50,K,Liberalerna (tidigare Folkpartiet),L
Birgitta Borg,80,K,Liberalerna (tidigare Folkpartiet),L
Victor Bolander,28,M,Liberalerna (tidigare Folkpartiet),L
Katarina Palm,56,K,Liberalerna (tidigare Folkpartiet),L
Kajsa Rosén,33,K,Liberalerna (tidigare Folkpartiet),L
Adam Furustam,18,M,Liberalerna (tidigare Folkpartiet),L
Thomas Eckard,60,M,Liberalerna (tidigare Folkpartiet),L
Ulrica Solver-Gustafsson,51,K,Liberalerna (tidigare Folkpartiet),L
Anna Grevillius,54,K,Liberalerna (tidigare Folkpartiet),L
Erik Martin Kronberg,24,M,Liberalerna (tidigare Folkpartiet),L
Anna Ågerfalk,54,K,Liberalerna (tidigare Folkpartiet),L
Willhelm Sundman,30,M,Liberalerna (tidigare Folkpartiet),L
Karolina Wallström,54,K,Liberalerna (tidigare Folkpartiet),L
Lars Hultkrantz,69,M,Liberalerna (tidigare Folkpartiet),L
Karin Mäki-Kala,21,K,Liberalerna (tidigare Folkpartiet),L
Fredrik Wernheden,58,M,Liberalerna (tidigare Folkpartiet),L
Annika Hickisch,69,K,Miljöpartiet de gröna,MP
Andreas Tranderyd,32,M,Miljöpartiet de gröna,MP
Elin Gillberg,40,K,Miljöpartiet de gröna,MP
Sten Lang,70,M,Miljöpartiet de gröna,MP
Marcus Willén Ode,50,M,Miljöpartiet de gröna,MP
Johanna Ghattas,45,K,Miljöpartiet de gröna,MP
Jan Larsson,70,M,Miljöpartiet de gröna,MP
Jasmine Ivarsson,30,K,Miljöpartiet de gröna,MP
Jonatan Sandberg,42,M,Miljöpartiet de gröna,MP
Mats Gunnarsson,60,M,Miljöpartiet de gröna,MP
Lea Strandberg,58,K,Miljöpartiet de gröna,MP
Per Folkeson,64,M,Miljöpartiet de gröna,MP
Monika Aune,62,K,Miljöpartiet de gröna,MP
Pia Frohman,48,K,Miljöpartiet de gröna,MP
Sara Pettersson,38,K,Miljöpartiet de gröna,MP
Daniel Ekelund,43,M,Miljöpartiet de gröna,MP
Lillemor Bodman,64,K,Moderaterna,M
Amanda Lindgren,21,K,Moderaterna,M
Caroline Elfors,42,K,Moderaterna,M
Maria Lönnberg,45,K,Moderaterna,M
Hossein Rahmani Azer,66,M,Moderaterna,M
Cecilia Albertsson,42,K,Moderaterna,M
Johan Kumlin,55,M,Moderaterna,M
Milian Olavssønn Snekkerbakken,18,M,Moderaterna,M
Ylva von Schéele,68,K,Moderaterna,M
Andreas Getzman,51,M,Moderaterna,M
Kristian Berglund,45,M,Moderaterna,M
Monica Thyresjö,64,K,Moderaterna,M
Margareta Engman,64,K,Moderaterna,M
Rikard Bergström,28,M,Moderaterna,M
Anna Danielsson,66,K,Moderaterna,M
Carina Börjesson,60,K,Moderaterna,M
Katarina Tolgfors,55,K,Moderaterna,M
Caroline Dieker,48,K,Moderaterna,M
Anders Åhrlin,44,M,Moderaterna,M
Anna Ragén,57,K,Moderaterna,M
Christopher Hedbom Rydaeus,25,M,Moderaterna,M
Anna Nordqvist,44,K,Moderaterna,M
Daniel Granqvist,50,M,Moderaterna,M
Daniel Spiik,45,M,Sverigedemokraterna,SD
Elin Jensen,53,K,Sverigedemokraterna,SD
Patrik Nyström,49,M,Sverigedemokraterna,SD
Carola Sunesson,53,K,Sverigedemokraterna,SD
Oscar Lundqvist,31,M,Sverigedemokraterna,SD
Fredrik Dahlberg,45,M,Sverigedemokraterna,SD
Richard Sandström,42,M,Sverigedemokraterna,SD
Tom Persson,45,M,Sverigedemokraterna,SD
Helena Ståhl,34,K,Sverigedemokraterna,SD
Bo Ammer,73,M,Sverigedemokraterna,SD
Lina Särén,40,K,Sverigedemokraterna,SD
Johan Stolpen,41,M,Vänsterpartiet,V
Margareta Carlsson,58,K,Vänsterpartiet,V
Tryggve Thyresson,60,M,Vänsterpartiet,V
Katarina Raneborn,57,K,Vänsterpartiet,V
Rolf Östman,64,M,Vänsterpartiet,V
Malin von Wachenfeldt,34,K,Vänsterpartiet,V
Torbjörn Holm,61,M,Vänsterpartiet,V
Jessica Karlqvist,49,K,Vänsterpartiet,V
Annika Finnström,54,K,Vänsterpartiet,V
Peter Tillman,52,M,Vänsterpartiet,V
Anita Bohlin-Neuman,67,K,Vänsterpartiet,V
Nadja Awad,31,K,Vänsterpartiet,V
Maria Nyberg,53,K,Vänsterpartiet,V
Anders Alexandersson,39,M,Vänsterpartiet,V
Clara Dahlin,34,K,Vänsterpartiet,V
Håkan Stenholm,57,M,Vänsterpartiet,V
Faisa Maxamed,42,K,Vänsterpartiet,V
Björn Naesje,47,M,Vänsterpartiet,V
Cathrine Lindgren,67,K,Vänsterpartiet,V
Georg Bivall Hölstedt,37,M,Vänsterpartiet,V
Linn Josefsson,36,K,Vänsterpartiet,V
Tobias Isaksson,47,M,Vänsterpartiet,V
Jihad Menhem,60,M,Vänsterpartiet,V
Ulla Wiklund Diedrichsen,66,K,Vänsterpartiet,V
Maria Odheim Nielsen,73,K,Vänsterpartiet,V
Rune Karlsson,62,M,Vänsterpartiet,V
Christina Hermansson Plaçon,78,K,Vänsterpartiet,V
Kim Bäckström,42,M,Vänsterpartiet,V
Anna Lilja,49,K,Vänsterpartiet,V
Johannes Nilsson,42,M,Vänsterpartiet,V
Veronica Löfling,52,K,Vänsterpartiet,V
Eje Johansson,65,M,Vänsterpartiet,V
Cecilia Lönn Elgstrand,41,K,Vänsterpartiet,V
Martha Wicklund,43,K,Vänsterpartiet,V
Nadia Abdellah,37,K,Vänsterpartiet,V
David Tverling,42,M,Vänsterpartiet,V
Mauri Sukuvaara,72,M,Vänsterpartiet,V
Eva Sohlborg,66,K,Vänsterpartiet,V
Jon Fredriksson,44,M,Vänsterpartiet,V
Lars-Åke Zettergren,62,M,Vänsterpartiet,V
Maj-Britt Jonsson,73,K,Vänsterpartiet,V
Klas-Göran Vilgren,72,M,Vänsterpartiet,V
Gertowe Thörnros,73,M,Vänsterpartiet,V
Leo Visuri,61,M,Vänsterpartiet,V
Jerry Karjalainen,42,M,Vänsterpartiet,V
Eva Renberg,58,K,Vänsterpartiet,V
Cristian Rehn Janowicz,39,M,Vänsterpartiet,V
Roland Halvarsson,71,M,Vänsterpartiet,V
Ingemar Savonen,70,M,Vänsterpartiet,V
Stefan Nilsson,52,M,Vänsterpartiet,V
Anneli Mylly,53,K,Vänsterpartiet,V
Peter Pedersen,68,M,Vänsterpartiet,V
Katja Ollila,45,K,Vänsterpartiet,V
Kenneth Lantz,71,M,Vänsterpartiet,V
Åsa Eriksson,50,K,Arbetarepartiet-Socialdemokraterna,S
Per Ågren,55,M,Arbetarepartiet-Socialdemokraterna,S
Maria Kesselring,45,K,Arbetarepartiet-Socialdemokraterna,S
Dennis Nilsson,59,M,Arbetarepartiet-Socialdemokraterna,S
Linda Söder-Jonsson,46,K,Arbetarepartiet-Socialdemokraterna,S
Foad Al Hasan,43,M,Arbetarepartiet-Socialdemokraterna,S
Shazia Qorbani,26,K,Arbetarepartiet-Socialdemokraterna,S
Jakop Yildiz,50,M,Arbetarepartiet-Socialdemokraterna,S
Camilla Runerås,48,K,Arbetarepartiet-Socialdemokraterna,S
Niklas Nordlund,48,M,Arbetarepartiet-Socialdemokraterna,S
Ingrid Hellström,66,K,Arbetarepartiet-Socialdemokraterna,S
Olle Thorell,54,M,Arbetarepartiet-Socialdemokraterna,S
David Rutström,60,M,Arbetarepartiet-Socialdemokraterna,S
Lena Johansson,52,K,Arbetarepartiet-Socialdemokraterna,S
Joakim Borg,46,M,Arbetarepartiet-Socialdemokraterna,S
Amanda Lindblad,31,K,Arbetarepartiet-Socialdemokraterna,S
Marino Wallsten,46,M,Arbetarepartiet-Socialdemokraterna,S
Ann-Louise Molin Östling,60,K,Arbetarepartiet-Socialdemokraterna,S
Adnan Sipovic,22,M,Arbetarepartiet-Socialdemokraterna,S
Sara Axelsson Gustafsson,48,K,Arbetarepartiet-Socialdemokraterna,S
Yousef Hussin,36,M,Centerpartiet,C
Eva-Lotta Svensson,40,K,Centerpartiet,C
Eva Björk,52,K,Centerpartiet,C
David Sundén,50,M,Centerpartiet,C
Monica Stolpe-Nordin,59,K,Centerpartiet,C
Barbro Larsson,60,K,Centerpartiet,C
Magnus Ekblad,61,M,Centerpartiet,C
Liv Fredling,18,K,Centerpartiet,C
Jenny Adolphson,57,K,Centerpartiet,C
Christer Gustafsson,66,M,Centerpartiet,C
Anders Johannesson,64,M,Centerpartiet,C
Malin Svedberg,22,K,Centerpartiet,C
Bernt Bergsten,52,M,Centerpartiet,C
Mikael Palmqvist,62,M,Centerpartiet,C
Hamse Omar,50,M,Centerpartiet,C
Tarja Mikkilä Pettersson,61,K,Centerpartiet,C
Milena Axklo,26,K,Centerpartiet,C
Jonathan Taki,34,M,Centerpartiet,C
Sture Johansson,73,M,Centerpartiet,C
Agnes Svedberg,24,K,Centerpartiet,C
Vicki Skure Eriksson,51,K,Centerpartiet,C
Karin Westlund,49,K,Centerpartiet,C
Sören Mårtensson,57,M,Centerpartiet,C
Emil Thessén,28,M,Kristdemokraterna,KD
Nilla Kuul,49,K,Kristdemokraterna,KD
Joakim Widell,55,M,Kristdemokraterna,KD
Mikael Frentz,41,M,Kristdemokraterna,KD
Kent Nilsson,71,M,Kristdemokraterna,KD
Raymond Jennersjö,57,M,Kristdemokraterna,KD
Anna-Carin Ragnarsson,56,K,Kristdemokraterna,KD
Jesper Songer,35,M,Kristdemokraterna,KD
Eva Axelsson,60,K,Kristdemokraterna,KD
Tommy Emterby,70,M,Kristdemokraterna,KD
Lars Gustavsson,55,M,Kristdemokraterna,KD
Lars-Axel Nordell,70,M,Kristdemokraterna,KD
Ann-Britt Liljeström Haglund,65,K,Kristdemokraterna,KD
Hanke Joneklav,69,M,Kristdemokraterna,KD
Amanda Grönlund,48,K,Kristdemokraterna,KD
Eric Söderberg,48,M,Kristdemokraterna,KD
Kenth Lucas,61,M,Kristdemokraterna,KD
Pauline Sturesson,52,K,Kristdemokraterna,KD
Hans Stergel,79,M,Kristdemokraterna,KD
Elisabeth Wäneskog,77,K,Kristdemokraterna,KD
Magnus Holm,55,M,Kristdemokraterna,KD
Sickan Palm,74,K,Kristdemokraterna,KD
Jonatan Lönnqvist,43,M,Kristdemokraterna,KD
Eddy Nzeyimana,43,M,Kristdemokraterna,KD
Uhriel Palfelt,51,M,Kristdemokraterna,KD
Malin Gabrielsson,52,K,Kristdemokraterna,KD
Salah Rasho,49,M,Kristdemokraterna,KD
Richard Fallqvist,43,M,Liberalerna (tidigare Folkpartiet),L
Jacob Axelson,27,M,Liberalerna (tidigare Folkpartiet),L
Tanja Hyving,56,K,Liberalerna (tidigare Folkpartiet),L
Reinder Nispeling,66,M,Liberalerna (tidigare Folkpartiet),L
Henrik Östman,73,M,Liberalerna (tidigare Folkpartiet),L
Jesper Brandberg,40,M,Liberalerna (tidigare Folkpartiet),L
Liane Blom,46,K,Liberalerna (tidigare Folkpartiet),L
Mårten Hemström,53,M,Liberalerna (tidigare Folkpartiet),L
Lina Eriksson,30,K,Liberalerna (tidigare Folkpartiet),L
Agne Furingsten,74,M,Liberalerna (tidigare Folkpartiet),L
Anton Holmlund,23,M,Liberalerna (tidigare Folkpartiet),L
Elisabeth Elander,30,K,Liberalerna (tidigare Folkpartiet),L
Peter Östevik,62,M,Miljöpartiet de gröna,MP
Kristina Östman,45,K,Miljöpartiet de gröna,MP
Birger Eriksson,60,M,Miljöpartiet de gröna,MP
Rebecka Dejby,27,K,Miljöpartiet de gröna,MP
Johannes Wretljung Persson,35,M,Miljöpartiet de gröna,MP
Ingela Kilholm Lindström,50,K,Miljöpartiet de gröna,MP
Markus Lindgren,37,M,Miljöpartiet de gröna,MP
Anna Thunell,38,K,Miljöpartiet de gröna,MP
Peter Ristikartano,46,M,Miljöpartiet de gröna,MP
Caroline Närhi,48,K,Miljöpartiet de gröna,MP
Melvin Petersen,21,M,Miljöpartiet de gröna,MP
Eleonor Zeidlitz,43,K,Miljöpartiet de gröna,MP
Jenny Landernäs,41,K,Moderaterna,M
Erik Hamrin,43,M,Moderaterna,M
Anna Nygren,52,K,Moderaterna,M
Jörgen Andersson,65,M,Moderaterna,M
Jonas Larsson,34,M,Moderaterna,M
Tomas Salzmann,68,M,Moderaterna,M
Aurora Eriksson,50,K,Moderaterna,M
Martin Eriksson,36,M,Moderaterna,M
Håkan Ampellindh,53,M,Moderaterna,M
Claes Kugelberg,77,M,Moderaterna,M
Caroline Högström,30,K,Moderaterna,M
Avni Dervishi,49,M,Moderaterna,M
Stefan Oszák Bengtsson,55,M,Moderaterna,M
Fredrik Karlsson,29,M,Moderaterna,M
Michael PB Johansson,61,M,Moderaterna,M
Sanna Strömstedt,48,K,Moderaterna,M
Elin Johansson,32,K,Moderaterna,M
Torbjörn Estelli,62,M,Moderaterna,M
Marie Brandstedt,40,K,Moderaterna,M
Anna Åkerström,48,K,Moderaterna,M
Pernilla Danielsson,57,K,Moderaterna,M
Eleonore Lundkvist,34,K,Moderaterna,M
Miranda Olsson,33,K,Moderaterna,M
Stieg Andersson,78,M,Moderaterna,M
Terese Pransjö,42,K,Moderaterna,M
Magnus Edman,61,M,Moderaterna,M
Solveig Nygren,62,K,Moderaterna,M
Åke Ottoson,60,M,Moderaterna,M
Rolf Schrötter,50,M,Moderaterna,M
Mikael Söderlund,59,M,Moderaterna,M
Anna Hård af Segerstad,44,K,Moderaterna,M
Enes Bilalovic,59,M,Moderaterna,M
Andreas Weiborn,34,M,Moderaterna,M
Johan Henriksson,27,M,Moderaterna,M
Anna Kramer,57,K,Moderaterna,M
Ewa Olsson Bergstedt,59,K,Sverigedemokraterna,SD
Magnus Edman,50,M,Sverigedemokraterna,SD
Ingvar Jonsson,63,M,Sverigedemokraterna,SD
Samuel Gustavsson,36,M,Sverigedemokraterna,SD
Janeth Persson,48,K,Sverigedemokraterna,SD
Caroline Frisk,53,K,Sverigedemokraterna,SD
Erik Johansson,42,M,Sverigedemokraterna,SD
Kent Pettersson,46,M,Sverigedemokraterna,SD
Sven Jonsson,61,M,Sverigedemokraterna,SD
Marina Hedberg,39,K,Sverigedemokraterna,SD
Louise Eriksson,59,K,Sverigedemokraterna,SD
Vasiliki Tsouplaki,42,K,Vänsterpartiet,V
Rasmus Löfling,33,M,Vänsterpartiet,V
Felicia Granath,29,K,Vänsterpartiet,V
Henry Lehto,66,M,Vänsterpartiet,V
Eva Kampman,59,K,Vänsterpartiet,V
Fredrik Skog,50,M,Vänsterpartiet,V
Andreas Trygg,46,M,Vänsterpartiet,V
Hawar Asaiesh,36,K,Vänsterpartiet,V
Albin Heleander,28,M,Vänsterpartiet,V
Vicktoria Bagi,50,K,Vänsterpartiet,V
Lars Nordin,71,M,Vänsterpartiet,V
Johanna Ritvadotter,52,K,Vänsterpartiet,V
Shiar Mala Said,30,M,Vänsterpartiet,V
Helen Lindblom,51,K,Vänsterpartiet,V
Peter Hultqvist,63,M,Arbetarepartiet-Socialdemokraterna,S
Anette Eriksson,54,K,Arbetarepartiet-Socialdemokraterna,S
Viktor Zakrisson,40,M,Arbetarepartiet-Socialdemokraterna,S
Monica Forsgren,55,K,Arbetarepartiet-Socialdemokraterna,S
Maslah Omar,30,M,Arbetarepartiet-Socialdemokraterna,S
Lotta Jepsen Sjölander,30,K,Arbetarepartiet-Socialdemokraterna,S
Jonas Wuopio,42,M,Arbetarepartiet-Socialdemokraterna,S
Monica Landström,54,K,Arbetarepartiet-Socialdemokraterna,S
Lars Jonsson,37,M,Arbetarepartiet-Socialdemokraterna,S
Mari Jonsson,58,K,Arbetarepartiet-Socialdemokraterna,S
Daniel Wenngren,45,M,Arbetarepartiet-Socialdemokraterna,S
Sofie Eriksson,29,K,Arbetarepartiet-Socialdemokraterna,S
Ayan Ubahle,39,K,Arbetarepartiet-Socialdemokraterna,S
Henrik Selin,52,M,Arbetarepartiet-Socialdemokraterna,S
Anna Bength,38,K,Arbetarepartiet-Socialdemokraterna,S
Johan Lundin,32,M,Arbetarepartiet-Socialdemokraterna,S
Yvonne Sonesson,65,K,Arbetarepartiet-Socialdemokraterna,S
Christoffer Gyllenkall,36,M,Arbetarepartiet-Socialdemokraterna,S
Åsa Bergkvist,52,K,Arbetarepartiet-Socialdemokraterna,S
David Aura,31,M,Arbetarepartiet-Socialdemokraterna,S
Jessica Wide,45,K,Arbetarepartiet-Socialdemokraterna,S
Peter Rousu,52,M,Arbetarepartiet-Socialdemokraterna,S
Lars Isacsson,52,M,Arbetarepartiet-Socialdemokraterna,S
Maria Olsson,35,K,Arbetarepartiet-Socialdemokraterna,S
Josef Erdem,64,M,Arbetarepartiet-Socialdemokraterna,S
Marit Hultkvist,31,K,Arbetarepartiet-Socialdemokraterna,S
Sören Juvas,53,M,Arbetarepartiet-Socialdemokraterna,S
Kajsa Henriksson,69,K,Arbetarepartiet-Socialdemokraterna,S
Edris Rasouli,40,M,Arbetarepartiet-Socialdemokraterna,S
Roza Güclü Hedin,39,K,Arbetarepartiet-Socialdemokraterna,S
Hans Unander,52,M,Arbetarepartiet-Socialdemokraterna,S
Marie Olsson,55,K,Arbetarepartiet-Socialdemokraterna,S
Kim Söderström,47,M,Arbetarepartiet-Socialdemokraterna,S
Sara Fernlund,32,K,Arbetarepartiet-Socialdemokraterna,S
Diyar Cicek,27,M,Arbetarepartiet-Socialdemokraterna,S
Claes Söderberg,60,M,Centerpartiet,C
Joanna Strid,49,K,Centerpartiet,C
Jan Forssell,58,M,Centerpartiet,C
Stina Munters,48,K,Centerpartiet,C
Pär Kindlund,53,M,Centerpartiet,C
Gunilla Berglund,61,K,Centerpartiet,C
Kjell Tenn,69,M,Centerpartiet,C
Lena Lagestam,56,K,Centerpartiet,C
Jonas Grenfeldt,37,M,Centerpartiet,C
Mikael Gotthardsson,47,M,Centerpartiet,C
Sarah Hjälm,53,K,Centerpartiet,C
Ulrica Momqvist,48,K,Centerpartiet,C
Karin Örjes,58,K,Centerpartiet,C
Per-Anders Westhed,75,M,Centerpartiet,C
Sofia Jarl,44,K,Centerpartiet,C
Tomas Bergsten,39,M,Centerpartiet,C
Göte Persson,55,M,Centerpartiet,C
Peter Karmala,36,M,Centerpartiet,C
Lars-Olov Liss,45,M,Centerpartiet,C
Mathias Westin,49,M,Centerpartiet,C
Fredrik Jarl,46,M,Centerpartiet,C
Pernilla Eklund,48,K,Centerpartiet,C
Tommy Hafvsdalen,50,M,Centerpartiet,C
Gun Drugge,72,K,Centerpartiet,C
Nasteho Mohamed,24,K,Centerpartiet,C
Jenny Drugge,47,K,Centerpartiet,C
Anna Hed,51,K,Centerpartiet,C
Mikael Thalin,56,M,Centerpartiet,C
Camilla Andersson-Sparring,51,K,Centerpartiet,C
Helena Vådegård,47,K,Kristdemokraterna,KD
Elin Vikman,34,K,Kristdemokraterna,KD
Roy Uppgård,73,M,Kristdemokraterna,KD
Elin Åhman,46,K,Kristdemokraterna,KD
Jonas Wide,39,M,Kristdemokraterna,KD
Carin Malm,63,K,Kristdemokraterna,KD
Jonas Hillerström,39,M,Kristdemokraterna,KD
Michael Jacobs,48,M,Kristdemokraterna,KD
Fredrika Birgersson,48,K,Kristdemokraterna,KD
Dan Hellenberg,53,M,Kristdemokraterna,KD
Jonny Eriksson,48,M,Kristdemokraterna,KD
Robert Dahlberg,53,M,Kristdemokraterna,KD
Malin Sundin Grindal,39,K,Kristdemokraterna,KD
Roger Westlund,54,M,Kristdemokraterna,KD
Jeannie Lundqvist,47,K,Kristdemokraterna,KD
Fredrik Ernlund,37,M,Kristdemokraterna,KD
Göran Aronson,57,M,Kristdemokraterna,KD
Jimmy Stanford,32,M,Kristdemokraterna,KD
Samuel Hedström,54,M,Kristdemokraterna,KD
Lisa-Maria Norlin,42,K,Kristdemokraterna,KD
Martin Johansson,32,M,Liberalerna (tidigare Folkpartiet),L
Ann-Sofie Jansson,50,K,Liberalerna (tidigare Folkpartiet),L
Torsten Åslund,70,M,Liberalerna (tidigare Folkpartiet),L
Jerk Pros,45,M,Liberalerna (tidigare Folkpartiet),L
Mats-Gunnar Eriksson,61,M,Liberalerna (tidigare Folkpartiet),L
Arne Lissmats,67,M,Liberalerna (tidigare Folkpartiet),L
Ersbjörs Pia Börjeson,63,K,Liberalerna (tidigare Folkpartiet),L
John Thornander,56,M,Liberalerna (tidigare Folkpartiet),L
Hanna Romelin,28,K,Liberalerna (tidigare Folkpartiet),L
Sakari Lehtola,56,M,Liberalerna (tidigare Folkpartiet),L
Jessica Hellström,41,K,Liberalerna (tidigare Folkpartiet),L
Michael Wirhed,56,M,Liberalerna (tidigare Folkpartiet),L
Kajsa Johansson Källberg,53,K,Liberalerna (tidigare Folkpartiet),L
Stefan Dangardt,69,M,Liberalerna (tidigare Folkpartiet),L
Björn Guström,64,M,Liberalerna (tidigare Folkpartiet),L
Bo Brännström,67,M,Liberalerna (tidigare Folkpartiet),L
Svante Parsjö-Tegnér,58,M,Liberalerna (tidigare Folkpartiet),L
Stefan Karlsson,46,M,Liberalerna (tidigare Folkpartiet),L
Martina Elfström,42,K,Liberalerna (tidigare Folkpartiet),L
Johnny Karlsson,62,M,Liberalerna (tidigare Folkpartiet),L
Maud Pettersson,56,K,Liberalerna (tidigare Folkpartiet),L
Jerker Olofsson,54,M,Liberalerna (tidigare Folkpartiet),L
Åsa Nilser,61,K,Liberalerna (tidigare Folkpartiet),L
Magnus Olaison,42,M,Medborgerlig Samling,MED
Anna Ljung,49,K,Medborgerlig Samling,MED
Katarina Gustavsson,68,K,Medborgerlig Samling,MED
Gunnel Cooper,71,K,Medborgerlig Samling,MED
Patrick Abbrahamsson,59,M,Medborgerlig Samling,MED
Anders Westerlund,47,M,Medborgerlig Samling,MED
Ulf Lahti,64,M,Medborgerlig Samling,MED
Dan Bernsprång,50,M,Medborgerlig Samling,MED
Peter Ardenlöv,61,M,Medborgerlig Samling,MED
Rolf Hallgren,64,M,Medborgerlig Samling,MED
Lars Nilsson,74,M,Medborgerlig Samling,MED
Martin Stark,28,M,Medborgerlig Samling,MED
Birgitta Pettersson Frank,68,K,Miljöpartiet de gröna,MP
Thor Draiby,36,M,Miljöpartiet de gröna,MP
Åsa Wikberg,42,K,Miljöpartiet de gröna,MP
Elvis Ärnlöv,18,M,Miljöpartiet de gröna,MP
Helena Andersson,55,K,Miljöpartiet de gröna,MP
Olle Berglund,66,M,Miljöpartiet de gröna,MP
Heidi Sjungargård,54,K,Miljöpartiet de gröna,MP
Rupert Tansley,51,M,Miljöpartiet de gröna,MP
Karolina Brosché,37,K,Miljöpartiet de gröna,MP
Göran Petri,73,M,Miljöpartiet de gröna,MP
Kristina Norström,74,K,Miljöpartiet de gröna,MP
Leif Stenberg,73,M,Miljöpartiet de gröna,MP
Elisabeth Åsenius,43,K,Miljöpartiet de gröna,MP
Lars Ottosson,53,M,Miljöpartiet de gröna,MP
Ann-Sofie Jonsson,48,K,Miljöpartiet de gröna,MP
Jan Lindholm,70,M,Miljöpartiet de gröna,MP
Ingmari Nilsson,61,K,Miljöpartiet de gröna,MP
Bertil Wennberg,74,M,Miljöpartiet de gröna,MP
Richard Holmqvist,77,M,Miljöpartiet de gröna,MP
Maj Ardesjö,62,K,Miljöpartiet de gröna,MP
Aron Knifström,37,M,Miljöpartiet de gröna,MP
Elina Brodén,37,K,Miljöpartiet de gröna,MP
Jonas Åsenius,47,M,Miljöpartiet de gröna,MP
Annica Ericson,67,K,Miljöpartiet de gröna,MP
Magnus Gabrielson,62,M,Miljöpartiet de gröna,MP
Kerstin Lundh,72,K,Miljöpartiet de gröna,MP
Fredrik Ollén,47,M,Moderaterna,M
Johannes Kotschy,42,M,Moderaterna,M
Jan Wiklund,62,M,Moderaterna,M
Jenni Sjöblom,47,K,Moderaterna,M
Catharina Enhörning,53,K,Moderaterna,M
Joakim Larsson,58,M,Moderaterna,M
Lotta Kihlmark-Gunnarsson,71,K,Moderaterna,M
Mikael Östling,44,M,Moderaterna,M
Stefan Eriksson,55,M,Moderaterna,M
Jonna Harkén,26,K,Moderaterna,M
Malin Höglund,53,K,Moderaterna,M
Pär Skagerling,53,M,Moderaterna,M
Jennie Tegnér,51,K,Moderaterna,M
Jesper Gustafsson,28,M,Moderaterna,M
Anna Wikbladh-Granath,48,K,Moderaterna,M
Hugo Abrahamsson,22,M,Moderaterna,M
Feasl Alyas,31,M,Moderaterna,M
Katarina Joanna Andersson,61,K,Moderaterna,M
Johan Thomasson,53,M,Moderaterna,M
Anna Hagberg,55,K,Moderaterna,M
Tamara Zuljevic,53,K,Moderaterna,M
Crister Carlsson,58,M,Moderaterna,M
Caroline Willfox,37,K,Moderaterna,M
Ulrik Bergman,52,M,Moderaterna,M
Mikael Rosén,67,M,Moderaterna,M
HåGe Persson,49,M,Moderaterna,M
Sebastian Larsson,29,M,Moderaterna,M
Britt-Inger Remning,68,K,Moderaterna,M
Rasmus Giertz,28,M,Sverigedemokraterna,SD
Daniel Lönn,21,M,Sverigedemokraterna,SD
Marit Andersson,53,K,Sverigedemokraterna,SD
Roger Eriksson,40,M,Sverigedemokraterna,SD
Anders Rosén,43,M,Sverigedemokraterna,SD
Pia Johansson,57,K,Sverigedemokraterna,SD
Per-Ola Ahlström,50,M,Sverigedemokraterna,SD
Kent Forschner-Hell,75,M,Sverigedemokraterna,SD
Therése Mörk,43,K,Sverigedemokraterna,SD
Fredrik Trygg,56,M,Sverigedemokraterna,SD
Roger Carlsson,65,M,Sverigedemokraterna,SD
