NAMN,ÅLDER_PÅ_VALDAGEN,KÖN,PARTIBETECKNING,PARTIFÖRKORTNING
Magnus Thelin,37,M,Liberalerna (tidigare Folkpartiet),L
Ewa Magnusson,54,K,Liberalerna (tidigare Folkpartiet),L
Erik Nygårds,57,M,Liberalerna (tidigare Folkpartiet),L
Annica Nordqvist,72,K,Miljöpartiet de gröna,MP
Jon Hammarin-Heinpalu,46,M,Miljöpartiet de gröna,MP
Sibylla Jämting,55,K,Miljöpartiet de gröna,MP
Mats Rappe,57,M,Miljöpartiet de gröna,MP
Lea Petersson,66,K,Miljöpartiet de gröna,MP
Palle Rosén,52,M,Miljöpartiet de gröna,MP
Kew Nordqvist,72,M,Miljöpartiet de gröna,MP
Rikard Salander,41,M,Miljöpartiet de gröna,MP
Anna Isaksson,48,K,Miljöpartiet de gröna,MP
Jon Forsärla,40,M,Miljöpartiet de gröna,MP
Emma Emanuelsson,47,K,Miljöpartiet de gröna,MP
Lukas Yassin,36,M,Miljöpartiet de gröna,MP
Malin Skreding Hallgren,55,K,Miljöpartiet de gröna,MP
Anders Ramstedt,60,M,Miljöpartiet de gröna,MP
Mihai Banica,46,M,Miljöpartiet de gröna,MP
Mats Hansson,59,M,Moderaterna,M
Helena Broberg,46,K,Moderaterna,M
Tomas Erazim,49,M,Moderaterna,M
Alexandra Wikström Kelemen,38,K,Moderaterna,M
Gert Jonsson,62,M,Moderaterna,M
Janne Hedell,61,M,Moderaterna,M
Mats Holmstedt,54,M,Moderaterna,M
Jonathan Jansson,19,M,Moderaterna,M
Filippa Lagerkvist,23,K,Moderaterna,M
Karl Bergbom,43,M,Moderaterna,M
Helena Bouveng,60,K,Moderaterna,M
Mats Danielsson,64,M,Moderaterna,M
Maria Gullberg Lorentsson,56,K,Moderaterna,M
Lars Carlborg,73,M,Moderaterna,M
Tobias Pettersson,29,M,Moderaterna,M
Susanne Wahlström,49,K,Moderaterna,M
Kristine Hästmark,50,K,Moderaterna,M
Kamran Sairafi,39,M,Moderaterna,M
Robin Wallén Nilsson,27,M,Moderaterna,M
Anton Sjödell,46,M,Moderaterna,M
